Όνομα;Χονδρική τιμή (€);Περιγραφή;Ενότητα;Γραμμή;Εταιρία;Φωτογραφία;Κωδικός;Barcode (EAN);Καταχώρηση προμηθευτή;Πηγή περιγραφής
Galesyn Family Repellent Spray IR3535 + Δώρο + Τσάντα;11,34;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Galesyn (Family Repellent).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Family Repellent;Galesyn;seasonal/galesyn-family-repellent-spray-ir3535-5205056459955.png;2200040796;5205056459955;GALESYN SPR.REP.FAM.IP3535+ΔΩ+ΤΣΑ;
Science of Nature After Bite Gel 30ml;4,80;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Science of Nature (After Bite).;Εντομοαπωθητικά & Διάφορα Εποχιακά;After Bite;Science of Nature;seasonal/science-of-nature-after-bite-gel-30ml-5206355050737.webp;2200043689;5206355050737;SCIENCE OF NAT.AFTER BITE GEL 30ML;
Science of Nature Mosquito Diffuser 30;6,60;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Science of Nature (Mosquito).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Mosquito;Science of Nature;seasonal/science-of-nature-mosquito-diffuser-30-5206355050744.webp;2200042187;5206355050744;SCIENCE OF NAT.MOSQUITO DIFFUSER 30;
Science of Nature Mosquito Lotion Protection 100ml;8,80;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Science of Nature (Mosquito).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Mosquito;Science of Nature;seasonal/science-of-nature-mosquito-lotion-protection-100ml-5206355050782.webp;2200042195;5206355050782;SCIENCE OF NAT.MOSQUITO LOT.PROT100;
Science of Nature Mosquito Spray Protection 100ml;8,80;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Science of Nature (Mosquito).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Mosquito;Science of Nature;seasonal/science-of-nature-mosquito-spray-protection-100ml-5206355050775.webp;2200042191;5206355050775;SCIENCE OF NAT.MOSQUITO SPR.PROT100;
Autan Defence After Bite Gel 25ml;5,01;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Autan (Defence).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Defence;Autan;seasonal/autan-defence-after-bite-gel-25ml-5000204176698.jpg;2200045425;5000204176698;AUTAN DEFEN. AFTER BITE GEL 25ML;
Autan Defence Extreme Protection Spray 100ml;9,55;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Autan (Defence Extreme).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Defence Extreme;Autan;seasonal/autan-defence-extreme-protection-spray-100ml-5000204435511.jpg;2200042597;5000204435511;AUTAN DEFEN.EXTREME PR.ΕΝΤ/Κ.SPR100;
Autan Defence Long Protection Lotion/Spray 100ml;8,84;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Autan (Defence Long).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Defence Long;Autan;seasonal/autan-defence-long-protection-lotion-spray-100ml-5000204184525.jpg;2200045427;5000204184525;AUTAN DEFEN.LONG PR.ΕΝΤ/ΚΟ LO/SP100;
Autan Defence Plant Spray 100ml ΝΕΟ;8,73;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Autan (Defence Plant).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Defence Plant;Autan;seasonal/autan-defence-plant-spray-100ml-5000204176452.webp;2200040039;5000204176452;AUTAN DEFEN.PLANT ΕΝΤ/ΚΟ SPR.100ΝΕΟ;
Autan Defence Kids Gel 100ml;8,95;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Autan (Defence Kids).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Defence Kids;Autan;seasonal/autan-defence-kids-gel-100ml-5000204176544.jpg;2200045424;5000204176544;AUTAN DEFEN. KIDS ΕΝΤ/ΚΟ GEL 100ML;
Fleriana Mosquito Repellent Body Spray Lotion - Συμπληρώματα Διατροφής - Power Health;3,29;Fleriana Mosquito Repellent Body Spray Lotion provides powerful protection thanks to Citrepel® 75, an EU-approved active ingredient of natural origin.;Εντομοαπωθητικά & Διάφορα Εποχιακά;Fleriana;Power Health;seasonal/fleriana-tablets-x20-5200102460923.jpg;2200037132;5200102460923;FLERIANA ΕΝΤΟΜ/ΚΕΣ TABL X20;www.powerhealth.gr
Σαπούνι Ελαιολάδου με Κολλαγόνο - Συμπληρώματα Διατροφής - Power Health;6,54;Σαπούνι Ελαιολάδου με Κολλαγόνο με >95% συστατικά φυσικής προέλευσης. Ιδανικό για βαθύ καθαρισμό και περιποίηση του προσώπου;Εντομοαπωθητικά & Διάφορα Εποχιακά;Fleriana;Power Health;seasonal/fleriana-tablets-x30-5200102460695.jpg;2200045791;5200102460695;FLERIANA ΕΝΤΟΜ/ΚΕΣ TABLX30 +ΗΛ.ΣΥΣΚ;www.powerhealth.gr
Πράσινο σαπούνι με ελαιόλαδο - Συμπληρώματα Διατροφής - Power Health;5,35;Πράσινο σαπούνι με ελαιόλαδο με >95% συστατικά φυσικής προέλευσης;Εντομοαπωθητικά & Διάφορα Εποχιακά;Fleriana;Power Health;seasonal/fleriana-plug-in-30ml-5200102460930.jpg;2200037134;5200102460930;FLERIANA ΕΝΤΟΜ/ΚΟ ΥΓΡΟ PLUG IN 30ML;www.powerhealth.gr
Fleriana Mosquito Repellent Body Spray Lotion - Συμπληρώματα Διατροφής - Power Health;8,06;Fleriana Mosquito Repellent Body Spray Lotion provides powerful protection thanks to Citrepel® 75, an EU-approved active ingredient of natural origin.;Εντομοαπωθητικά & Διάφορα Εποχιακά;Fleriana;Power Health;seasonal/fleriana-130g-5200102460497.png;2200040978;5200102460497;FLERIANA ΚΕΡΙ ΕΝΤΟΜ/KO 130G;www.powerhealth.gr
Fleriana Mosquito Repellent Body Spray Lotion - Συμπληρώματα Διατροφής - Power Health;3,29;Fleriana Mosquito Repellent Body Spray Lotion provides powerful protection thanks to Citrepel® 75, an EU-approved active ingredient of natural origin.;Εντομοαπωθητικά & Διάφορα Εποχιακά;Fleriana;Power Health;seasonal/fleriana-x10-5200102461050.jpg;2200040980;5200102461050;FLERIANA ΣΠΕΙΡΕΣ ΕΝΤΟΜ/KO X10;www.powerhealth.gr
Fleriana Απωθητικό Spray για Βαδιστικά Έντομα - Συμπληρώματα Διατροφής - Power Health;5,32;Ο συνδυασμός τους δημιουργεί ένα εξαιρετικά αποτελεσματικό εντομοαπωθητικό προϊόν με μεγάλο φάρμα δράσης. Είναι ιδιαίτερα αποτελεσματικό για κατσαρίδες, μυρμήγκια, αράχνες, ψαλίδες, σαρανταποδαρούσες και άλλα βαδιστικά έντομα.;Εντομοαπωθητικά & Διάφορα Εποχιακά;Fleriana;Power Health;seasonal/fleriana-after-bite-spray-30ml-5200102460671.jpg;2200048628;5200102460671;FLERIANA AFTERBITE SPRAY 30ML;powerhealth.gr
Fleriana Baby Body Milk - Συμπληρώματα Διατροφής - Power Health;6,54;Fleriana Baby Body Milk. Ενυδατικό γαλάκτωμα σώματος με Aloe Vera, κατάλληλο για την περιποίηση της ευαίσθητης βρεφικής επιδερμίδας.;Εντομοαπωθητικά & Διάφορα Εποχιακά;Fleriana;Power Health;seasonal/fleriana-cream-body-75ml-5200102461555.webp;2200041439;5200102461555;FLERIANA CREAM BODY ΕΝΤΟΜ.75ML;powerhealth.gr
Fleriana Baby Shampoo & Body Wash 2 In 1 - Συμπληρώματα Διατροφής - Power Health;5,35;Fleriana Baby Shampoo & Body Wash 2 In 1: Βρεφικό σαμπουάν και αφρόλουτρο 2 σε 1 με εκχυλίσματα Μελιού και Πρωτεΐνης Γάλακτος;Εντομοαπωθητικά & Διάφορα Εποχιακά;Fleriana;Power Health;seasonal/fleriana-roll-on-50ml-5200102461548.jpg;2200041459;5200102461548;FLERIANA ROLL-ON ΕΝΤΟΜ.50ML;www.powerhealth.gr
Fleriana Απωθητικό Spray για Βαδιστικά Έντομα - Συμπληρώματα Διατροφής - Power Health;5,68;Ο συνδυασμός τους δημιουργεί ένα εξαιρετικά αποτελεσματικό εντομοαπωθητικό προϊόν με μεγάλο φάρμα δράσης. Είναι ιδιαίτερα αποτελεσματικό για κατσαρίδες, μυρμήγκια, αράχνες, ψαλίδες, σαρανταποδαρούσες και άλλα βαδιστικά έντομα.;Εντομοαπωθητικά & Διάφορα Εποχιακά;Fleriana;Power Health;seasonal/fleriana-spray-400ml-5200102460435.jpg;2200033117;5200102460435;FLERIANA SPRAY ΑΠΩΘ.ΕΡΠΟΝΤΑ ΕΝΤ.400;powerhealth.gr
Fleriana Απωθητικό Spray για Βαδιστικά Έντομα - Συμπληρώματα Διατροφής - Power Health;6,54;Ο συνδυασμός τους δημιουργεί ένα εξαιρετικά αποτελεσματικό εντομοαπωθητικό προϊόν με μεγάλο φάρμα δράσης. Είναι ιδιαίτερα αποτελεσματικό για κατσαρίδες, μυρμήγκια, αράχνες, ψαλίδες, σαρανταποδαρούσες και άλλα βαδιστικά έντομα.;Εντομοαπωθητικά & Διάφορα Εποχιακά;Fleriana;Power Health;seasonal/fleriana-spray-75ml-5200102461531.jpg;2200041460;5200102461531;FLERIANA SPRAY ΕΝΤΟΜΟΑΠ. 75ML;powerhealth.gr
Mo-Shield Βραχιόλι Αντικουνουπικό x1;3,29;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Mo-Shield (Bracelet).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Bracelet;Mo-Shield;seasonal/mo-shield-x1-4897047470332.jpg;2200046388;4897047470332;MO-SHIELD ΒΡΑΧΙΟΛΙ ΑΝΤΙΚΟΥΝΟΥΠ. Χ1;
RealCare Roll-On Αμμωνία 25ml;1,28;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς RealCare (After Bite).;Εντομοαπωθητικά & Διάφορα Εποχιακά;After Bite;RealCare;seasonal/realcare-roll-on-25ml-5212008500368.jpg;2200037446;5212008500368;RC REALCARE ROLL-ON ΑΜΜΩΝΙΑ 25ML;
RealCare Panthenol Cream 150ml (50% Δωρεάν);5,60;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς RealCare (Panthenol).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Panthenol;RealCare;seasonal/realcare-panthenol-cream-150ml-50-5212008500306.jpg;2200037396;5212008500306;RC PANTHENOL CREAM 150ML 50%ΔΩΡΕΑΝ;
Aloe Vera Gel Puro 100 ml: lenitivo, idratante e nutriente - ESI;7,79;Pelle secca ed arrossata? Prova Aloe Vera Gel Puro ESI, a base di aloe vera puro nel pratico formato da 100 ml. Lenitivo, idratante e nutriente. Compralo online!;Εντομοαπωθητικά & Διάφορα Εποχιακά;Aloe Vera;ESI;seasonal/esi-aloe-vera-gel-100-pure-100ml-8008843132430.png;2200046346;8008843132430;ALOE VERA GEL 100,00% PURE ESI 100ML;esi.it
Aloe Vera Gel Puro 100 ml: lenitivo, idratante e nutriente - ESI;9,30;Pelle secca ed arrossata? Prova Aloe Vera Gel Puro ESI, a base di aloe vera puro nel pratico formato da 100 ml. Lenitivo, idratante e nutriente. Compralo online!;Εντομοαπωθητικά & Διάφορα Εποχιακά;Aloe Vera;ESI;seasonal/esi-aloe-vera-gel-100-pure-200ml-8008843132447.png;2200048723;8008843132447;ALOE VERA GEL 100,00% PURE ESI 200ML;esi.it
Aboca Arnica Bio-Pomata 50ml;9,60;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Aboca (Arnica).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Arnica;Aboca;seasonal/aboca-arnica-bio-pomata-50ml-8032472004608.webp;2200035899;8032472004608;ARNICA BIO-POMATA 50ML ABOCA;
Compeed Επιθέματα για Φουσκάλες στο Πέλμα από Αθλητικές Δραστηριότητες x5;5,63;Τα Επιθέματα για Φουσκάλες στο Πέλμα από Αθλητικές Δραστηριότητες COMPEED® είναι ειδικά σχεδιασμένα ώστε να εφαρμόζουν στο μετατάρσιο (το μπροστινό τμήμα του πέλματος) και να παρέχουν προστασία από την τριβή;Εντομοαπωθητικά & Διάφορα Εποχιακά;Φουσκάλες;Compeed;seasonal/x5-3574660559859.png;2200020395;3574660559859;COMPEED ΕΠΙΘ.ΦΟΥΣΚΑ ΠΕΛ.UNDERΧ5 673;compeed.gr
Compeed Μεσαία Επιθέματα για Φουσκάλες x5;4,98;Τα Μεσαία Επιθέματα για Φουσκάλες COMPEED® απορροφούν την περιττή υγρασία και σχηματίζουν ένα προστατευτικό μαξιλάρι προσφέροντας άμεση ανακούφιση από τον πόνο και ιδανικές συνθήκες για την επούλωση των φουσκαλών του ποδιού.;Εντομοαπωθητικά & Διάφορα Εποχιακά;Φουσκάλες;Compeed;seasonal/x5-3663555001457.png;2200024349;3663555001457;COMPEED MEDIUM ΦΟΥΣΚΑΛ.X5 505/001;compeed.gr
Compeed Επιθέματα για Φουσκάλες στα Δάκτυλα των Ποδιών x8;4,98;Τα επιθέματα για φουσκάλες στα δάκτυλα των ποδιών COMPEED® είναι ειδικά σχεδιασμένα για φουσκάλες που εμφανίζονται στα δάκτυλα των ποδιών, συχνά σε δυσπρόσιτα σημεία, και παρέχουν άμεση ανακούφιση από τον πόνο.;Εντομοαπωθητικά & Διάφορα Εποχιακά;Φουσκάλες;Compeed;seasonal/x8-3663555001679.png;2200025099;3663555001679;COMPEED ΕΠΙΘ.ΦΟΥΣΚ.ΔΑ. Χ8 503;compeed.gr
Compeed Μεσαία Επιθέματα για Κάλους στα Μικρά Δάκτυλα των Ποδιών x10;4,58;Τα Επιθέματα για Κάλους στα Δάκτυλα των Ποδιών COMPEED® περιέχουν ενεργή γέλη υδροκολλοειδούς τεχνολογίας η οποία καταπραΰνει αμέσως τον πόνο και βοηθά στην αφαίρεση της σκλήρυνσης;Εντομοαπωθητικά & Διάφορα Εποχιακά;Κάλοι;Compeed;seasonal/x10-3663555001969.png;2200027315;3663555001969;COMPEED ΕΠΙΘΕΜΑ MED.ΜΙΚΡ.Δ.CORNΧ10;compeed.gr
Compeed Μικρά Επιθέματα για Φουσκάλες x6;4,98;Τα Μικρά Επιθέματα για Φουσκάλες COMPEED® απορροφούν την περιττή υγρασία και σχηματίζουν ένα προστατευτικό μαξιλάρι προσφέροντας άμεση ανακούφιση από τον πόνο και ιδανικές συνθήκες για την επούλωση των φουσκαλών του ποδιού;Εντομοαπωθητικά & Διάφορα Εποχιακά;Φουσκάλες;Compeed;seasonal/x6-3663555001440.png;2200027502;3663555001440;COMPEED ΕΠΙΘΕ SMALL ΜΕΓ.ΔΑ.Χ6/403;compeed.gr
Compeed Επιθέματα για Κότσι x5;4,58;Τα Επιθέματα για Κότσι COMPEED® βοηθούν στην πρόληψη της δημιουργίας φουσκαλών και της περαιτέρω σκλήρυνσης του δέρματος η οποία μπορεί να προκαλέσει άλλες επώδυνες δερματικές καταστάσεις;Εντομοαπωθητικά & Διάφορα Εποχιακά;Κότσια;Compeed;seasonal/x5-3663555001938.png;2200027507;3663555001938;COMPEED ΕΠΙΘΕΜΑ ΚΟΤΣΙΑ Χ5 /200;compeed.gr
Compeed Μεγάλα Επιθέματα για Σκληρύνσεις x2;4,58;Τα Επιθέματα για Σκληρύνσεις COMPEED® περιέχουν ενεργή γέλη υδροκολλοειδούς τεχνολογίας η οποία καταπραΰνει αμέσως τον πόνο και βοηθά στην αφαίρεση των σκληρύνσεων.;Εντομοαπωθητικά & Διάφορα Εποχιακά;Κάλοι;Compeed;seasonal/x2-3663555001549.png;2200027509;3663555001549;COMPEED ΕΠΙΘΕΜΑ LARGE ΣΚΛΗΡ. Χ2/302;compeed.gr
Compeed Μεσαία Επιθέματα για Σκληρύνσεις x6;4,58;Τα Επιθέματα για Σκληρύνσεις COMPEED® περιέχουν ενεργή γέλη υδροκολλοειδούς τεχνολογίας η οποία καταπραΰνει αμέσως τον πόνο και βοηθά στην αφαίρεση των σκληρύνσεων.;Εντομοαπωθητικά & Διάφορα Εποχιακά;Κάλοι;Compeed;seasonal/x6-3663555001945.png;2200027515;3663555001945;COMPEED ΕΠΙΘΕΜΑ MEDΙ.ΣΚΛΗΡΥΝ.Χ6 300;compeed.gr
Compeed Μεσαία Επιθέματα για Κάλους Μεταξύ Δακτύλων x10;4,58;Τα Επιθέματα για Κάλους στα Δάκτυλα των Ποδιών COMPEED® περιέχουν ενεργή γέλη υδροκολλοειδούς τεχνολογίας η οποία καταπραΰνει αμέσως τον πόνο και βοηθά στην αφαίρεση της σκλήρυνσης;Εντομοαπωθητικά & Διάφορα Εποχιακά;Κάλοι;Compeed;seasonal/x10-3663555001952.png;2200027517;3663555001952;COMPEED ΕΠΙΘ.ΜED.ΜΕΤΑΞΥ ΔΑΚ.Χ10 402;compeed.gr
Compeed Αόρατο Επίθεμα για τον Επιχείλιο Έρπη x15;8,84;COMPEEDÂ® Discreet Cold sore patch contains hydrocolloid active gel technology for faster healing and scabbing prevention;Εντομοαπωθητικά & Διάφορα Εποχιακά;Επιχείλιος Έρπης;Compeed;seasonal/x15-3663555002126.png;2200028115;3663555002126;COMPEED PATCH ΕΠΙΧΕΙΛ.ΕΡΠΗΣ Χ15;compeed.gr
Compeed Extreme Μεσαία Επιθέματα για Φουσκάλες x5;5,63;Τα Μεσαία Επιθέματα για Φουσκάλες COMPEED® απορροφούν την περιττή υγρασία και σχηματίζουν ένα προστατευτικό μαξιλάρι προσφέροντας άμεση ανακούφιση από τον πόνο και ιδανικές συνθήκες για την επούλωση των φουσκαλών του ποδιού.;Εντομοαπωθητικά & Διάφορα Εποχιακά;Φουσκάλες;Compeed;seasonal/extreme-x5-3663555002386.png;2200030099;3663555002386;COMPEED EXTREME MEDIUM ΦΟΥΣΚΑΛ.Χ5;compeed.gr
Compeed Επιθέματα για Σπυράκια Conceal & Go x15;8,66;Καθαρίστε, καλύψτε και προστατέψτε τα σπυράκια σας με τα Επιθέματα Compeed Conceal & Go. Ανακαλύψτε πως η υδροκολλοειδή τεχνολογία των επιθεμάτων για σπυράκια βοηθάει στην αντιμετώπιση των σπυριών.;Εντομοαπωθητικά & Διάφορα Εποχιακά;Stop Spots;Compeed;seasonal/conceal-go-x15-3663555005394.png;2200040503;3663555005394;COMPEED PATCH STOP SPOTS X15;compeed.gr
Compeed Επιθέματα για Σπυράκια Καθαρισμού x7;5,68;Καθαρίστε, ενυδατώστε και φωτίστε το δέρμα σας με τα Επιθέματα για Σπυράκια* COMPEED® Καθαρισμού. Μάθετε πώς τα υδροκολλοειδή επιθέματα για τα σπυράκια βοηθούν στην απομάκρυνση των ακαθαρσιών του δέρματος.;Εντομοαπωθητικά & Διάφορα Εποχιακά;Stop Spots;Compeed;seasonal/x7-3663555005349.png;2200040505;3663555005349;COMPEED PLASTER STOP SPOTS X7;compeed.gr
Compeed Μεσαία Ενυδατικά Επιθέματα για Κάλους x6;4,84;Τα Ενυδατικά Επιθέματα για Κάλους COMPEED® μένουν σταθερά στη θέση τους για μέρες παρέχοντας προστασία από την τριβή και την πίεση;Εντομοαπωθητικά & Διάφορα Εποχιακά;Κάλοι;Compeed;seasonal/x6-3663555002492.png;2200047305;3663555002492;COMPEED ΕΠΙΘΕΜΑ MEDIUM.MOIS CORN X6;compeed.gr
Compeed Μεσαία Επιθέματα για Φουσκάλες x10;7,66;Τα Μεσαία Επιθέματα για Φουσκάλες COMPEED® απορροφούν την περιττή υγρασία και σχηματίζουν ένα προστατευτικό μαξιλάρι προσφέροντας άμεση ανακούφιση από τον πόνο και ιδανικές συνθήκες για την επούλωση των φουσκαλών του ποδιού.;Εντομοαπωθητικά & Διάφορα Εποχιακά;Φουσκάλες;Compeed;seasonal/x10-3663555002973.png;2200048154;3663555002973;COMPEED MEDIUM ΕΠΙΘ. ΦΟΥΣΚΑΛ.X10;compeed.gr
Compeed Επιθέματα για Φουσκάλες από Ψηλοτάκουνα Παπούτσια x5;5,63;Τα Επιθέματα για Φουσκάλες από Ψηλοτάκουνα Παπούτσια COMPEED® είναι κατάλληλα για όλες τις φουσκάλες που προκαλούνται από ψηλοτάκουνα παπούτσια;Εντομοαπωθητικά & Διάφορα Εποχιακά;Φουσκάλες;Compeed;seasonal/x5-3663555002652.png;2200048156;3663555002652;COMPEED ΕΠΙΘΕΜΑ ΦΤΕΡΝΕΣ Χ5 ΤΑΚΟΥΝ;compeed.gr
Compeed Επιθέματα Διαφορετικών Μεγεθών για Φουσκάλες x5;5,63;Η συσκευασία Επιθέματα Διαφορετικών Μεγεθών για Φουσκάλες COMPEED® περιλαμβάνει 2 Μεσαία Επιθέματα για Φουσκάλες, 2 Μικρά Επιθέματα για Φουσκάλες και 1 Επίθεμα για Φουσκάλες στα Δάκτυλα των Ποδιών. Ιδανική για κιτ πρώτων βοηθειών!;Εντομοαπωθητικά & Διάφορα Εποχιακά;Φουσκάλες;Compeed;seasonal/x5-3663555002744.png;2200049122;3663555002744;COMPEED ΕΠΙΘΕΜ.MIX PACK 5-Χ3 ΜΕΓΕΘΗ;compeed.gr
Ωτοασπίδες Σιλικόνης Earplus (Ζεύγος);1,55;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Ωτοασπίδες (Earplus).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Earplus;Ωτοασπίδες;;2200003920;;ΩΤΟΑΣΠΙΔΕΣ ΣΙΛ/ΝΗΣ EARPLUS ΖΕΥΓΟΣ;
Ωτοασπίδες Σπογγώδεις Soft Ohropax (Ζεύγος);0,46;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Ωτοασπίδες (Ohropax).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Ohropax;Ωτοασπίδες;seasonal/soft-ohropax-4003626060935.jpg;2200006172;4003626060935;ΩΤΟΑΣΠΙΔΕΣ ΣΠΟΓΓΩΔ.SOFT OHROPAX ΖΕΥ;
Αιμόσταση - Pharmalead Vitorgan;11,30;Προϊόντα Αιμόστασης;Εντομοαπωθητικά & Διάφορα Εποχιακά;Αιμοστατικό;Pharmalead;seasonal/pharmalead-spray-60ml-5203339000122.jpg;2200039118;5203339000122;PHARMAL.ΑΙΜΟΣΤΑΤΙΚΟ SPRAY 60ML;pharmalead.gr
Hemosatic Cotton Wool;6,20;Ideal for minor bleeding. Promotes early healing. Highly absorbent. Soft & conformable;Εντομοαπωθητικά & Διάφορα Εποχιακά;Αιμοστατικό;Pharmalead;seasonal/pharmalead-2g-5203339000108.jpg;2200039119;5203339000108;PHARMAL.ΑΙΜΟΣΤΑΤΙΚΟ ΒΑΜΒΑ 2GR;pharmalead.gr
Travel Fix Films ODF x10;4,06;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Travel Fix (Travel Fix).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Travel Fix;Travel Fix;seasonal/travel-fix-films-odf-x10-5206938002634.webp;2200045776;5206938002634;TRAVEL FIX FILMS ODF X10;
Travel Fix Tablets 500mg x10;4,06;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Travel Fix (Travel Fix).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Travel Fix;Travel Fix;seasonal/travel-fix-tablets-500mg-x10-5206938000623.jpg;2200034197;5206938000623;TRAVEL FIX TABL 500MG X10;
Hangover Oral Films Disintegrating x6;5,00;Εποχιακό προϊόν για προστασία ή ανακούφιση κατά τις θερινές δραστηριότητες. Προϊόν της σειράς Hangover Oral Films (Hangover).;Εντομοαπωθητικά & Διάφορα Εποχιακά;Hangover;Hangover Oral Films;seasonal/hangover-oral-films-disintegrating-x6-5205152011262.jpg;2200047585;5205152011262;HANGOVER ORAL FILMS DISINTEGR. X6;
Klerat Pasta Ποντικιών 10x15g;3,90;Επαγγελματικό δόλωμα κατά τρωκτικών/εντόμων. Προϊόν της σειράς Klerat (Pasta).;Τρωκτικοκτόνα;Pasta;Klerat;;2200045807;;KLERAT PASTA ΠΟΝΤΙΚΙΩΝ 10X15GR;
Storm Ultra Ποντικοκύβοι 150g;7,38;Επαγγελματικό δόλωμα κατά τρωκτικών/εντόμων. Προϊόν της σειράς Storm Ultra (Cubes).;Τρωκτικοκτόνα;Cubes;Storm Ultra;;2200040263;;STORM ULTRA ΠΟΝΤΙΚ. ΚΥΒΟΙ 150GR;
Addict Gel Μυρμήγκια 10g (ΝΕΟ);;Επαγγελματικό δόλωμα κατά τρωκτικών/εντόμων. Προϊόν της σειράς Addict Gel (Μυρμήγκια).;Τρωκτικοκτόνα;Μυρμήγκια;Addict Gel;seasonal/addict-gel-10g-5212047700064.jpg;addict-gel-myrm;5212047700064;Addict Gel Μυρμήγκια 10g;